title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes
JISOO - ‘꽃(FLOWER)’ M/V,2023-03-31T04:00:14Z,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,10,2023-04-02T00:00:00Z,YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|LISA|JISOO|JENNIE|ROSÉ|BLINK|블링크|지수 꽃|JISOO FLOWER|FLOWER|All Eyes On Me|JISOO All Eyes On Me|지수 All Eyes On Me|JISOO ME|ME|지수 FLOWER|JISOO 꽃,61267941,6414238,0
Train Vs Giant Pit,2023-07-08T16:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,24,2023-07-11T00:00:00Z,[None],61201045,3665671,0
BTS (방탄소년단) 'Dynamite' Official Teaser,2020-08-18T15:00:02Z,UC3IZKseVpdzPSBaWxBxundA,Big Hit Labels,10,2020-08-23T00:00:00Z,BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄,61128258,6141399,155110
Grand Theft Auto VI Trailer 1,2023-12-04T23:07:10Z,UC6VcWc1rAoWdBCM0JxrRQ3A,Rockstar Games,20,2023-12-05T00:00:00Z,Rockstar Games|Grand Theft Auto VI|GTAVI|GTA 6|GTA Six|Grand Theft Auto|GTA|Vice City|Leonida,61097210,7114337,0
This is a scary world. #thatlittlepuff #puffknowsbetter #abitofcat #shorts,2021-11-19T01:33:35Z,UClFN9LShD_Pv0wnSeUKbUZw,That Little Puff,22,2021-11-24T00:00:00Z,[None],61032993,2543523,62485
A STORY ABOUT GREED 💸,2021-06-27T02:00:12Z,UC5gxP-2QqIh_09djvlm9Xcg,Alan Chikin Chow,23,2021-07-04T00:00:00Z,alan chikin chow|tiktok|superhero fanfics be like|wattpad stories|wattpad|fanfics|korea.on|on oppa|sci fi fan fics be like|sci-fi fanfics be like|how cryptocurrency works|cryptocurrency tips|cryptocurrency humor|funny bitcoin stories|how bitcoin works|best tips for cryptocurrency trading|cryptocurrency for beginners|alan chikin chow cryptocurrency|alan chikin chow tiktok|if your phone could see the future|how to get rich quick|get rich quick story,61002062,2490907,87279
NCT 127 엔시티 127 '질주 (2 Baddies)' MV,2022-09-15T09:00:07Z,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,10,2022-09-20T00:00:00Z,nct 127|2 baddies|mv|full speed|nct|smtown|엔시티|엔시티 127|질주|뮤직비디오|뮤비|태일|태용|쟈니|유타|재현|도영|정우|마크|해찬|taeil|taeyong|johnny|yuta|jaehyun|doyoung|jungwoo|mark|haechan|챌린지|질주 챌린지|127 챌린지|댄스 챌린지|challenge|nct 127 challenge|2 baddies challenge|neo seoul|neo seoul challenge|youtube shorts|shorts,60998297,902084,0
Google — Year in Search 2022,2022-12-08T10:09:46Z,UCK8sQmJBp8GCxrOtXWBpyEA,Google,28,2022-12-19T00:00:00Z,google|google year in search|zeitgeist|year in review|year in search|end of year recap|year in search 2022|2022 highlights|2022 recap|best of 2022|google year in search 2022|fresh start|biggest moments of 2022,60838452,36212,0
KALAASTAR - Full Video | Honey 3.0 | Yo Yo Honey Singh & Sonakshi Sinha | Zee Music Originals,2023-10-15T05:30:35Z,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,10,2023-10-18T00:00:00Z,kalaastar teaser|kalaastar song|kalaastar|kalaastar honey singh|yo yo honey singh|kalaastar official song|yo yo honey singh new song|yo yo honey singh songs|kalaastar yo yo honey singh|new honey singh songs|latest honey singh songs|kalaastar honey song|sonakshi sinha new songs|sonakshi sinha songs|honey singh new songs|kalastar|kalastaar|kala star|kalaa star|sonakshi|kalaastar song yo yo honey singh|kalastar honey|desi kalakar|honey 3.0|honey singh songs,60825446,7570098,0
Adipurush (Official Trailer) Hindi | Prabhas | Saif Ali Khan | Kriti Sanon | Om Raut | Bhushan Kumar,2023-05-09T08:36:06Z,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,1,2023-05-13T00:00:00Z,hindi songs new|bollywood songs 2023|tseries|tseries songs|bollywood romantic songs|romantic hindi songs|hindi songs bollywood|remix hindi songs|hindi song status|bollywood dance songs|Adipurush Teaser|Adipurush Teaser Event|Teaser Event|Aadipurush|Adipurush|Prabhas|Kriti Sanon|Saif Ali Khan|Prabhas as Adipurush|Adipurush Hindi|Hindi Adipurush|Hindi official trailer|Official trailer|Adipurush (Official Trailer) Hindi|Movies 2023,60782495,1401234,0
